,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
768,Stuart,3,8,out,False,False,False,False,False,False,False
769,Victoria,3,8,out,False,False,False,False,False,False,False
770,Peter,3,8,out,False,False,False,False,False,False,False
771,Natasha,3,8,out,False,False,False,False,False,False,False
772,Frances,4,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
773,Kimberley,4,8,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
774,Ruby,4,8,Baker was the Star Baker,False,True,False,False,False,False,False
775,Beca,4,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
776,Christine,4,8,Baker was eliminated,True,False,False,False,False,False,False
777,Glenn,4,8,out,False,False,False,False,False,False,False
778,Howard,4,8,out,False,False,False,False,False,False,False
779,Robert,4,8,out,False,False,False,False,False,False,False
780,Ali,4,8,out,False,False,False,False,False,False,False
781,Deborah,4,8,out,False,False,False,False,False,False,False
782,Mark,4,8,out,False,False,False,False,False,False,False
783,Lucy,4,8,out,False,False,False,False,False,False,False
784,Toby,4,8,out,False,False,False,False,False,False,False
785,Nancy,5,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
786,Luis,5,8,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
787,Richard,5,8,Baker was the Star Baker.,False,True,False,False,False,False,False
788,Chetna,5,8,Baker got through to the next round.,False,False,True,False,False,False,False
789,Martha,5,8,Baker was eliminated.,True,False,False,False,False,False,False
790,Kate,5,8,out,False,False,False,False,False,False,False
791,Norman,5,8,out,False,False,False,False,False,False,False
792,Diana,5,8,out,False,False,False,False,False,False,False
793,Iain,5,8,out,False,False,False,False,False,False,False
794,Jordan,5,8,out,False,False,False,False,False,False,False
795,Enwezor,5,8,out,False,False,False,False,False,False,False
796,Claire,5,8,out,False,False,False,False,False,False,False
797,Jo,2,8, Baker was the series winner,False,False,False,False,False,False,True
798,Holly,2,8, Baker was the series runner-up,False,False,False,False,False,True,False
799,Mary-Anne,2,8, Baker was the series runner-up,False,False,False,False,False,True,False
800,Janet,2,8,out,False,False,False,False,False,False,False
801,Yasmin,2,8,out,False,False,False,False,False,False,False
802,Jason,2,8,out,False,False,False,False,False,False,False
803,Robert,2,8,out,False,False,False,False,False,False,False
804,Ben,2,8,out,False,False,False,False,False,False,False
805,Ian,2,8,out,False,False,False,False,False,False,False
806,Urvashi,2,8,out,False,False,False,False,False,False,False
807,Simon,2,8,out,False,False,False,False,False,False,False
808,Keith,2,8,out,False,False,False,False,False,False,False
809,Candice,7,8,Baker was the Star Baker.,False,True,False,False,False,False,False
810,Andrew,7,8,Baker got through to the next round.,False,False,True,False,False,False,False
811,Jane,7,8,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
812,Selasi,7,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
813,Benjamina,7,8,Baker was eliminated.,True,False,False,False,False,False,False
814,Tom,7,8,out,False,False,False,False,False,False,False
815,Rav,7,8,out,False,False,False,False,False,False,False
816,Val,7,8,out,False,False,False,False,False,False,False
817,Kate,7,8,out,False,False,False,False,False,False,False
818,Michael,7,8,out,False,False,False,False,False,False,False
819,Louise,7,8,out,False,False,False,False,False,False,False
820,Lee,7,8,out,False,False,False,False,False,False,False
821,Sophie,8,8,Baker got through to the next round.,False,False,True,False,False,False,False
822,Kate,8,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
823,Steven,8,8,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
824,Stacey,8,8,Baker was the Star Baker.,False,True,False,False,False,False,False
825,Liam,8,8,Baker was eliminated.,True,False,False,False,False,False,False
826,Yan,8,8,out,False,False,False,False,False,False,False
827,Julia,8,8,out,False,False,False,False,False,False,False
828,James,8,8,out,False,False,False,False,False,False,False
829,Tom,8,8,out,False,False,False,False,False,False,False
830,Flo,8,8,out,False,False,False,False,False,False,False
831,Chris,8,8,out,False,False,False,False,False,False,False
832,Peter,8,8,out,False,False,False,False,False,False,False
833,Edd,1,8,,False,False,False,False,False,False,False
834,Ruth,1,8,,False,False,False,False,False,False,False
835,Miranda,1,8,,False,False,False,False,False,False,False
836,Jasminder,1,8,,False,False,False,False,False,False,False
837,David,1,8,,False,False,False,False,False,False,False
838,Jonathan,1,8,,False,False,False,False,False,False,False
839,Annetha,1,8,,False,False,False,False,False,False,False
840,Louise,1,8,,False,False,False,False,False,False,False
841,Lea,1,8,,False,False,False,False,False,False,False
842,Mark,1,8,,False,False,False,False,False,False,False
843,Nadiya,6,8,Baker was the Star Baker.,False,True,False,False,False,False,False
844,Ian,6,8,Baker got through to the next round.,False,False,True,False,False,False,False
845,Tamal,6,8,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
846,Flora,6,8,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
847,Paul,6,8,Baker was eliminated.,True,False,False,False,False,False,False
848,Mat,6,8,out,False,False,False,False,False,False,False
849,Alvin,6,8,out,False,False,False,False,False,False,False
850,Ugnė,6,8,out,False,False,False,False,False,False,False
851,Sandy,6,8,out,False,False,False,False,False,False,False
852,Dorret,6,8,out,False,False,False,False,False,False,False
853,Marie,6,8,out,False,False,False,False,False,False,False
854,Stu,6,8,out,False,False,False,False,False,False,False
855,John,3,9," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
856,Brendan,3,9," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
857,James,3,9, Baker was the Star Baker,False,True,False,False,False,False,False
858,Danny,3,9, Baker was eliminated,True,False,False,False,False,False,False
859,Cathryn,3,9,out,False,False,False,False,False,False,False
860,Ryan,3,9,out,False,False,False,False,False,False,False
861,Sarah-Jane,3,9,out,False,False,False,False,False,False,False
862,Manisha,3,9,out,False,False,False,False,False,False,False
863,Stuart,3,9,out,False,False,False,False,False,False,False
864,Victoria,3,9,out,False,False,False,False,False,False,False
865,Peter,3,9,out,False,False,False,False,False,False,False
866,Natasha,3,9,out,False,False,False,False,False,False,False
867,Frances,4,9,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
868,Kimberley,4,9,Baker was the Star Baker,False,True,False,False,False,False,False
869,Ruby,4,9,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
870,Beca,4,9,Baker was eliminated,True,False,False,False,False,False,False
871,Christine,4,9,out,False,False,False,False,False,False,False
872,Glenn,4,9,out,False,False,False,False,False,False,False
873,Howard,4,9,out,False,False,False,False,False,False,False
874,Robert,4,9,out,False,False,False,False,False,False,False
875,Ali,4,9,out,False,False,False,False,False,False,False
876,Deborah,4,9,out,False,False,False,False,False,False,False
877,Mark,4,9,out,False,False,False,False,False,False,False
878,Lucy,4,9,out,False,False,False,False,False,False,False
879,Toby,4,9,out,False,False,False,False,False,False,False
880,Nancy,5,9,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
881,Luis,5,9,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
882,Richard,5,9,Baker was the Star Baker.,False,True,False,False,False,False,False
883,Chetna,5,9,Baker was eliminated.,True,False,False,False,False,False,False
884,Martha,5,9,out,False,False,False,False,False,False,False
885,Kate,5,9,out,False,False,False,False,False,False,False
886,Norman,5,9,out,False,False,False,False,False,False,False
887,Diana,5,9,out,False,False,False,False,False,False,False
888,Iain,5,9,out,False,False,False,False,False,False,False
889,Jordan,5,9,out,False,False,False,False,False,False,False
890,Enwezor,5,9,out,False,False,False,False,False,False,False
891,Claire,5,9,out,False,False,False,False,False,False,False
892,Jo,2,9,,False,False,False,False,False,False,False
893,Holly,2,9,,False,False,False,False,False,False,False
894,Mary-Anne,2,9,,False,False,False,False,False,False,False
895,Janet,2,9,,False,False,False,False,False,False,False
896,Yasmin,2,9,,False,False,False,False,False,False,False
897,Jason,2,9,,False,False,False,False,False,False,False
898,Robert,2,9,,False,False,False,False,False,False,False
899,Ben,2,9,,False,False,False,False,False,False,False
900,Ian,2,9,,False,False,False,False,False,False,False
901,Urvashi,2,9,,False,False,False,False,False,False,False
902,Simon,2,9,,False,False,False,False,False,False,False
903,Keith,2,9,,False,False,False,False,False,False,False
904,Candice,7,9,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
905,Andrew,7,9,Baker was the Star Baker.,False,True,False,False,False,False,False
906,Jane,7,9,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
907,Selasi,7,9,Baker was eliminated.,True,False,False,False,False,False,False
908,Benjamina,7,9,out,False,False,False,False,False,False,False
909,Tom,7,9,out,False,False,False,False,False,False,False
910,Rav,7,9,out,False,False,False,False,False,False,False
911,Val,7,9,out,False,False,False,False,False,False,False
912,Kate,7,9,out,False,False,False,False,False,False,False
913,Michael,7,9,out,False,False,False,False,False,False,False
914,Louise,7,9,out,False,False,False,False,False,False,False
915,Lee,7,9,out,False,False,False,False,False,False,False
916,Sophie,8,9,Baker was the Star Baker.,False,True,False,False,False,False,False
917,Kate,8,9,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
918,Steven,8,9,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
919,Stacey,8,9,Baker was eliminated.,True,False,False,False,False,False,False
920,Liam,8,9,out,False,False,False,False,False,False,False
921,Yan,8,9,out,False,False,False,False,False,False,False
922,Julia,8,9,out,False,False,False,False,False,False,False
923,James,8,9,out,False,False,False,False,False,False,False
924,Tom,8,9,out,False,False,False,False,False,False,False
925,Flo,8,9,out,False,False,False,False,False,False,False
926,Chris,8,9,out,False,False,False,False,False,False,False
927,Peter,8,9,out,False,False,False,False,False,False,False
928,Edd,1,9,,False,False,False,False,False,False,False
929,Ruth,1,9,,False,False,False,False,False,False,False
930,Miranda,1,9,,False,False,False,False,False,False,False
931,Jasminder,1,9,,False,False,False,False,False,False,False
932,David,1,9,,False,False,False,False,False,False,False
933,Jonathan,1,9,,False,False,False,False,False,False,False
934,Annetha,1,9,,False,False,False,False,False,False,False
935,Louise,1,9,,False,False,False,False,False,False,False
936,Lea,1,9,,False,False,False,False,False,False,False
937,Mark,1,9,,False,False,False,False,False,False,False
938,Nadiya,6,9,Baker was the Star Baker.,False,True,False,False,False,False,False
939,Ian,6,9,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
940,Tamal,6,9,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
941,Flora,6,9,Baker was eliminated.,True,False,False,False,False,False,False
942,Paul,6,9,out,False,False,False,False,False,False,False
943,Mat,6,9,out,False,False,False,False,False,False,False
944,Alvin,6,9,out,False,False,False,False,False,False,False
945,Ugnė,6,9,out,False,False,False,False,False,False,False
946,Sandy,6,9,out,False,False,False,False,False,False,False
947,Dorret,6,9,out,False,False,False,False,False,False,False
948,Marie,6,9,out,False,False,False,False,False,False,False
949,Stu,6,9,out,False,False,False,False,False,False,False
