,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
171,Jasminder,1,10,,False,False,False,False,False,False,False
172,David,1,10,,False,False,False,False,False,False,False
173,Jonathan,1,10,,False,False,False,False,False,False,False
174,Annetha,1,10,,False,False,False,False,False,False,False
175,Louise,1,10,,False,False,False,False,False,False,False
176,Lea,1,10,,False,False,False,False,False,False,False
177,Mark,1,10,,False,False,False,False,False,False,False
178,Nadiya,6,10,Baker was the series winner.,False,False,False,False,False,False,True
179,Ian,6,10,Baker was a series runner-up.,False,False,False,False,False,True,False
180,Tamal,6,10,Baker was a series runner-up.,False,False,False,False,False,True,False
181,Flora,6,10,out,False,False,False,False,False,False,False
182,Paul,6,10,out,False,False,False,False,False,False,False
183,Mat,6,10,out,False,False,False,False,False,False,False
184,Alvin,6,10,out,False,False,False,False,False,False,False
185,Ugnė,6,10,out,False,False,False,False,False,False,False
186,Sandy,6,10,out,False,False,False,False,False,False,False
187,Dorret,6,10,out,False,False,False,False,False,False,False
188,Marie,6,10,out,False,False,False,False,False,False,False
189,Stu,6,10,out,False,False,False,False,False,False,False
190,John,3,2, Baker was the Star Baker,False,True,False,False,False,False,False
191,Brendan,3,2," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
192,James,3,2," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
193,Danny,3,2, Baker got through to the next round,False,False,True,False,False,False,False
194,Cathryn,3,2, Baker got through to the next round,False,False,True,False,False,False,False
195,Ryan,3,2, Baker got through to the next round,False,False,True,False,False,False,False
196,Sarah-Jane,3,2, Baker got through to the next round,False,False,True,False,False,False,False
197,Manisha,3,2, Baker got through to the next round,False,False,True,False,False,False,False
198,Stuart,3,2," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
199,Victoria,3,2," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
200,Peter,3,2, Baker was eliminated,True,False,False,False,False,False,False
201,Natasha,3,2,out,False,False,False,False,False,False,False
202,Frances,4,2,Baker got through to the next round,False,False,True,False,False,False,False
203,Kimberley,4,2,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
204,Ruby,4,2,Baker was the Star Baker,False,True,False,False,False,False,False
205,Beca,4,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
206,Christine,4,2,Baker got through to the next round,False,False,True,False,False,False,False
207,Glenn,4,2,Baker got through to the next round,False,False,True,False,False,False,False
208,Howard,4,2,Baker got through to the next round,False,False,True,False,False,False,False
209,Robert,4,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
210,Ali,4,2,Baker got through to the next round,False,False,True,False,False,False,False
211,Deborah,4,2,Baker got through to the next round,False,False,True,False,False,False,False
212,Mark,4,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
213,Lucy,4,2,Baker was eliminated,True,False,False,False,False,False,False
214,Toby,4,2,out,False,False,False,False,False,False,False
215,Nancy,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
216,Luis,5,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
217,Richard,5,2,Baker was the Star Baker.,False,True,False,False,False,False,False
218,Chetna,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
219,Martha,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
220,Kate,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
221,Norman,5,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
222,Diana,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
223,Iain,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
224,Jordan,5,2,Baker got through to the next round.,False,False,True,False,False,False,False
225,Enwezor,5,2,Baker was eliminated.,True,False,False,False,False,False,False
226,Claire,5,2,out,False,False,False,False,False,False,False
227,Jo,2,2," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
228,Holly,2,2, Baker got through to the next round,False,False,True,False,False,False,False
229,Mary-Anne,2,2, Baker got through to the next round,False,False,True,False,False,False,False
230,Janet,2,2, Baker got through to the next round,False,False,True,False,False,False,False
231,Yasmin,2,2, Baker got through to the next round,False,False,True,False,False,False,False
232,Jason,2,2, Baker was the Star Baker,False,True,False,False,False,False,False
233,Robert,2,2," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
234,Ben,2,2, Baker got through to the next round,False,False,True,False,False,False,False
235,Ian,2,2," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
236,Urvashi,2,2, Baker got through to the next round,False,False,True,False,False,False,False
237,Simon,2,2, Baker was eliminated,True,False,False,False,False,False,False
238,Keith,2,2,out,False,False,False,False,False,False,False
239,Candice,7,2,Baker was the Star Baker.,False,True,False,False,False,False,False
240,Andrew,7,2,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
241,Jane,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
242,Selasi,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
243,Benjamina,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
244,Tom,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
245,Rav,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
246,Val,7,2,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
247,Kate,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
248,Michael,7,2,Baker got through to the next round.,False,False,True,False,False,False,False
249,Louise,7,2,Baker was eliminated.,True,False,False,False,False,False,False
250,Lee,7,2,out,False,False,False,False,False,False,False
