,Unnamed: 0,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
67,3,Norman,Orange & Cinnamon Dufrickies and Whisky Shortbread Ding Dangs,4,Gâteau De Joyeux Noël,10,royal picnic,7
68,0,Chetna,Aubergine & Tomato Canapés and Spiced Potato Canapés,3,"Family Favourites(Baked Alaska, Bûche de Noël and Ginger & Citrus Cheesecake)",special,episode 1,7
69,1,Howard,Smoked Trout Trees with Pea Pastry and Partridge & Pear Treats,2,"Camp as Christmas Trio(Cranberry Sherry Glass Trifle, Gingerbread ""House-and-Garden"" Cheesecake and Stollen)",special,episode 1,7
70,2,James,Mackerel Mousse Mille-feuille and Red Onion & Goats Cheese Swirls,1,"Merry Extravaganza(Apple Pie & Custard Doughnut, Chocolate-orange Macaron and Christmas Cake)",special,episode 1,7
71,3,Janet,Crab Pâté Gougère Barguettes and Mushroom & Chicken Liver Tartlets,4,"Festive Friends(Tri-coloured Petit Four, Mont Blanc and Chocolate & Orange Dome)",special,episode 1,7
0,0,Chris,Tropical Fresh Fruit Cake,12,'Raised Pork Pie and Egg Surprise' Cake,1,cakes,8
1,1,Flo,Citrus Layer Cake,9,'One in a Melon' Cake,1,cakes,8
2,2,James,"Orange, Rhubarb & Ginger Crumble Cake",2,'Mock-accino and Croissant' Cake,1,cakes,8
3,3,Julia,Courgette and Lemon Cake,3,'Russian Doll' Cake,1,cakes,8
4,4,Kate,Moroccan Strawberry and Rose Cake,1,'Chocolate Terrarium' Cake,1,cakes,8
5,5,Liam,Apple and Almond Crumble Maple Loaf,8,'Stackin' Sunday' Cake,1,cakes,8
6,6,Peter,Coconut Cake,10,'Bread on a Breadboard' Cake,1,cakes,8
7,7,Sophie,Pineapple and Coconut Sandwich Cake,5,'Champagne Bottle and Bucket' Cake,1,cakes,8
8,8,Stacey,Granny Smith Apple and Walnut Cake,11,'Black Evening Clutch Bag' Cake,1,cakes,8
9,9,Steven,Bonfire Night Cake,6,'A Baker's Lunch' Cake,1,cakes,8
10,10,Tom,Gilded Pear and Cardamom Cake,7,'Stack of Books' Cake,1,cakes,8
11,11,Yan,Windfall Apple Crumble Cake,4,'Banana-ramen' Cake,1,cakes,8
12,0,Chris,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,'The Great British Sail Off' Game,2,biscuits,8
13,1,Flo,Gin Jam Butties,10,'Pick My Bones' Game,2,biscuits,8
14,2,James,Rhubarb and Custard Whirls,3,'Coppit' Game,2,biscuits,8
15,3,Julia,Middle Eastern Delight Sandwich Biscuits,4,'A British Baking' Game,2,biscuits,8
16,4,Kate,Coconut Seashells for a Titanic Afternoon Tea,8,'Jungle' Game,2,biscuits,8
17,5,Liam,Coffee Malted Pecan Shorties,7,'Classroom Classics' Game,2,biscuits,8
18,6,Sophie,Lemon Limoncino Sandwich Biscuits,2,'Snakes and Ladders' Game,2,biscuits,8
19,7,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,9,'Get to School' Game,2,biscuits,8
20,8,Steven,Amarpressi Biscuits,6,'Check Bake' Game,2,biscuits,8
21,9,Tom,Coffee and Amaretto Kisses,5,'Drain Pipes and Ladders' Game,2,biscuits,8
22,10,Yan,'Mrs. Marian's PB 'n' B' Biscuits,1,'Adventures in Bakeland' Game,2,biscuits,8
23,0,Flo,Cinnamon and Orange Teacakes,7,'Davy Jones' Locker' Bread Sculpture,3,bread,8
24,1,James,Nordic Teacakes,9,'Owl in the Woods' Bread Sculpture,3,bread,8
25,2,Julia,Earl Grey Dried Fruit Teacakes,2,'The Snail Under a Mushroom' Bread Sculpture,3,bread,8
26,3,Kate,Blueberry Buns,10,'Kraken' Bread Sculpture,3,bread,8
27,4,Liam,Jamaican Spiced Teacakes,5,'Kneadapolitan' Bread Sculpture,3,bread,8
28,5,Sophie,Tagine Teacakes,6,'Picnic Basket' Bread Sculpture,3,bread,8
29,6,Stacey,Cranberry and Cinnamon Teacakes,1,'Ascot Hat' Bread Sculpture,3,bread,8
30,7,Steven,Madras Cocktail Teacakes,3,'The Bag I Knead' Bread Sculpture,3,bread,8
31,8,Tom,Orange and Cranberry Teacakes,4,'Pink & Yellow Rose Centrepiece' Bread Sculpture,3,bread,8
32,9,Yan,'Mrs P's' Masala Chai Spiced Teacakes,8,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,3,bread,8
33,0,James,'Windy City' Millionaire Shortbreads,2,Nutty Caramel Cake,4,caramel,8
34,1,Julia,Pecan Salted Caramel Millionaire Shortbreads,9,Poppy Seed Caramel Cake,4,caramel,8
35,2,Kate,Salted Bay Caramel Millionaire Shortbreads,6,Sticky Toffee Apple Caramel Cake,4,caramel,8
36,3,Liam,Salted Peanut Butter Millionaire Shortbreads,3,White Layered Ginger Caramel Cake,4,caramel,8
37,4,Sophie,Jaffa Millionaire Shortbreads,4,Bird's Nest Caramel Cake,4,caramel,8
38,5,Stacey,Rum Salted Caramel Millionaire Shortbreads,1,Chocolate and Coffee Caramel Cake,4,caramel,8
39,6,Steven,Orange Macadamia Nut Millionaire Shortbreads,7,Caramel Crown Cake,4,caramel,8
40,7,Tom,Stem Ginger Caramel Shortbreads,5,Hummingbird Cake,4,caramel,8
41,8,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,Animals of the Rainforest Caramel Cake,4,caramel,8
42,0,James,Orange and Ginger Steamed School Pudding,7,'The Missed Silver Jubilee' Trifle Terrine,5,pudding,8
43,1,Julia,Orange & Treacle Steamed School Pudding,3,'Opulent Ornament' Trifle Terrine,5,pudding,8
44,2,Kate,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8,'My Great Great Nan's' Raspberry Trifle Terrine,5,pudding,8
45,3,Liam,Cherries & Lemons that are 'Baked Well',2,'Cheers Lads' Trifle Terrine,5,pudding,8
46,4,Sophie,"Ginger, Fig and Honey Steamed School Pudding",1,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",5,pudding,8
47,5,Stacey,Bakewell Tart Steamed School Pudding,4,Tropical Trifle Terrine,5,pudding,8
48,6,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,5,'From Across the Jelly Pond' Trifle Terrine,5,pudding,8
49,7,Yan,Mango Fruit Hat Steamed School Pudding,6,'Heart of a Hero' Trifle Terrine,5,pudding,8
50,0,Julia,'Pies from the Tree' Decorative Pies,7,'Special Occasion' Pie,6,pastry,8
51,1,Kate,'Vegetarian Pie Faces' Decorative Pies,5,Potato Curry Pie with Mango & Chilli Glaze,6,pastry,8
52,2,Liam,'Standard FC' Decorative Pies,4,'Nan's Sunday Dinner' Pie,6,pastry,8
53,3,Sophie,'The Four Seasons' Decorative Pies,2,Game Pie with Glazed Forest Fruits,6,pastry,8
54,4,Stacey,'Love Theme' Decorative Pies,6,Indian Hand Raised Pie with Mango,6,pastry,8
55,5,Steven,'Fleetwood Mac' Decorative Pies,3,Christmas Pie,6,pastry,8
56,6,Yan,'πr2' Decorative Pies,1,Chequerboard Pie,6,pastry,8
57,0,Kate,'Happy Hour' Cocktail Cannoli,6,'Flavour Fusion' Sfogliatelle,7,italian,8
58,1,Liam,'Just Doing Me' Cannoli,2,'Morning Delivery' Sfogliatelle,7,italian,8
59,2,Sophie,'Classics with a Twist' Cannoli,3,'Classics' Sfogliatelle,7,italian,8
60,3,Stacey,My All Time Favourite Desserts,4,Pastry Surprise,7,italian,8
61,4,Steven,Italian Style Cannoli,1,'Sicilian-style' Sfogliatelle,7,italian,8
62,5,Yan,Cannoli Cocktails,5,Canadian-Style Sfogliatelle,7,italian,8
